id_jurisdiccion,jurisdiccion,id_finalidad,finalidad,id_funcion,funcion,monto,porcentaje
1,Legislatura De La Ciudad De Buenos Aires,1,AdmInistración Gubernamental,1,Legislativa,1056800000,95,558
2,Auditoria General De La Ciudad De Buenos Aires,1,AdmInistración Gubernamental,1,Legislativa,0,0
3,Defensoria Del Pueblo,1,AdmInistración Gubernamental,1,Legislativa,0,0
5,Ministerio Publico,1,AdmInistración Gubernamental,1,Legislativa,0,0
6,Tribunal Superior De Justicia,1,AdmInistración Gubernamental,1,Legislativa,0,0
7,Consejo De La Magistratura,1,AdmInistración Gubernamental,1,Legislativa,0,0
8,Sindicatura General De La Ciudad De Buenos Aires,1,AdmInistración Gubernamental,1,Legislativa,0,0
9,Procuracion General De La Ciudad,1,AdmInistración Gubernamental,1,Legislativa,0,0
20,Jefatura De Gobierno,1,AdmInistración Gubernamental,1,Legislativa,0,0
21,Jefatura De Gabinete De Ministros,1,AdmInistración Gubernamental,1,Legislativa,0,0
26,Ministerio De Justicia Y Seguridad,1,AdmInistración Gubernamental,1,Legislativa,0,0
28,Ministerio De Gobierno,1,AdmInistración Gubernamental,1,Legislativa,0,0
30,Ministerio De Desarrollo Urbano,1,AdmInistración Gubernamental,1,Legislativa,0,0
35,Ministerio De Ambiente Y Espacio Publico,1,AdmInistración Gubernamental,1,Legislativa,0,0
40,Ministerio De Salud,1,AdmInistración Gubernamental,1,Legislativa,0,0
45,Ministerio De Desarrollo Social,1,AdmInistración Gubernamental,1,Legislativa,0,0
50,Ministerio De Cultura,1,AdmInistración Gubernamental,1,Legislativa,0,0
55,Ministerio De Educacion,1,AdmInistración Gubernamental,1,Legislativa,0,0
60,Ministerio De Hacienda,1,AdmInistración Gubernamental,1,Legislativa,0,0
65,Ministerio De Desarrollo Economico,1,AdmInistración Gubernamental,1,Legislativa,0,0
68,Ministerio De Modernización,1,AdmInistración Gubernamental,1,Legislativa,0,0
90,Secretaria De Gestion Comunal Y Atención Ciudadana,1,AdmInistración Gubernamental,1,Legislativa,0,0
98,Servicio De La Deuda Publica,1,AdmInistración Gubernamental,1,Legislativa,0,0
99,Obligaciones A Cargo Del Tesoro,1,AdmInistración Gubernamental,1,Legislativa,49128569,4,442
1,Legislatura De La Ciudad De Buenos Aires,1,AdmInistración Gubernamental,2,Judicial,0,0
2,Auditoria General De La Ciudad De Buenos Aires,1,AdmInistración Gubernamental,2,Judicial,0,0
