id_jurisdiccion,jurisdiccion,id_finalidad,finalidad,id_funcion,funcion,monto,porcentaje
1,Legislatura De La Ciudad De Buenos Aires,1,Administración Gubernamental,1,Legislativa,1510524467,93.63
99,Servicio De La Deuda Publica,1,Gastos No Clasificados,1,Legislativa,102766072,6.37
20,Jefatura De Gobierno,3,Servicios Sociales,1,Salud,254836502,1.53
40,Ministerio De Salud,3,Servicios Sociales,1,Salud,15535529819,93.22
99,Servicio De La Deuda Publica,3,Servicios Sociales,1,Salud,874383614,5.25
98,Servicio De La Deuda Publica,5,Deuda Pública – Intereses Y Gastos,1,Deuda Pública – Intereses Y Gastos,2794173000,100.00
98,Servicio De La Deuda Publica,9,Gastos No Clasificados,1,Gastos No Clasificados,550000000,100.00
5,Ministerio Publico,1,Administración Gubernamental,2,Judicial,1593867070,29.54
6,Tribunal Superior De Justicia,1,Administración Gubernamental,2,Judicial,256335408,4.75
7,Consejo De La Magistratura,1,Administración Gubernamental,2,Judicial,2150668857,39.86
26,Ministerio De Justicia Y Seguridad,1,Administración Gubernamental,2,Judicial,905726854,16.79
28,Ministerio De Gobierno,1,Administración Gubernamental,2,Judicial,121101908,2.24
99,Servicio De La Deuda Publica,1,Gastos No Clasificados,2,Judicial,367794600,6.82
26,Ministerio De Justicia Y Seguridad,2,Servicios De Seguridad,2,Seguridad Interior,3770746588,92.90
99,Servicio De La Deuda Publica,2,Servicios De Seguridad,2,Seguridad Interior,288363549,7.10
20,Jefatura De Gobierno,3,Servicios Sociales,2,Promoción Y Acción Social,412004656,4.78
21,Jefatura De Gabinete De Ministros,3,Servicios Sociales,2,Promoción Y Acción Social,1640311781,19.02
28,Ministerio De Gobierno,3,Servicios Sociales,2,Promoción Y Acción Social,63787637,0.74
30,Ministerio De Desarrollo Urbano,3,Servicios Sociales,2,Promoción Y Acción Social,1017600,0.01
35,Ministerio De Ambiente Y Espacio Publico,3,Servicios Sociales,2,Promoción Y Acción Social,649000000,7.53
45,Ministerio De Desarrollo Social,3,Servicios Sociales,2,Promoción Y Acción Social,3969996073,46.03
60,Ministerio De Hacienda,3,Servicios Sociales,2,Promoción Y Acción Social,59776048,0.69
65,Ministerio De Desarrollo Economico,3,Servicios Sociales,2,Promoción Y Acción Social,448186565,5.20
90,Secretaria De Gestion Comunal Y Atenc.Ciudadana,3,Servicios Sociales,2,Promoción Y Acción Social,47375191,0.55
99,Servicio De La Deuda Publica,3,Servicios Sociales,2,Promoción Y Acción Social,1332964707,15.46
9,Procuracion General  De La Ciudad,1,Administración Gubernamental,3,Dirección Ejecutiva,398175743,12.52
20,Jefatura De Gobierno,1,Administración Gubernamental,3,Dirección Ejecutiva,451617135,14.20
21,Jefatura De Gabinete De Ministros,1,Administración Gubernamental,3,Dirección Ejecutiva,167621651,5.27
28,Ministerio De Gobierno,1,Administración Gubernamental,3,Dirección Ejecutiva,143011510,4.50
60,Ministerio De Hacienda,1,Administración Gubernamental,3,Dirección Ejecutiva,103145768,3.24
65,Ministerio De Desarrollo Economico,1,Administración Gubernamental,3,Dirección Ejecutiva,232929928,7.33
68,Ministerio De Modernizacion,1,Administración Gubernamental,3,Dirección Ejecutiva,588239436,18.50
90,Secretaria De Gestion Comunal Y Atenc.Ciudadana,1,Administración Gubernamental,3,Dirección Ejecutiva,669702889,21.06
99,Servicio De La Deuda Publica,1,Gastos No Clasificados,3,Dirección Ejecutiva,425018795,13.37
21,Jefatura De Gabinete De Ministros,4,Servicios Económicos,3,Transporte,2847170769,79.59
30,Ministerio De Desarrollo Urbano,4,Servicios Económicos,3,Transporte,721118226,20.16
99,Servicio De La Deuda Publica,4,Servicios Económicos,3,Transporte,9077688,0.25
20,Jefatura De Gobierno,3,Servicios Sociales,4,Educación,177508571,0.93
