id_jurisdiccion,jurisdiccion,id_finalidad,finalidad,id_funcion,funcion,monto,porcentaje
1,Legislatura De La Ciudad De Buenos Aires,1,Adm Gubernamental,6,Adm. Fiscal,0,"0,000"
2,Auditoria General De La Ciudad De Buenos Aires,1,Adm Gubernamental,6,Adm. Fiscal,0,"0,000"
3,Defensoria Del Pueblo,1,Adm Gubernamental,6,Adm. Fiscal,0,"0,000"
5,Ministerio Publico,1,Adm Gubernamental,6,Adm. Fiscal,0,"0,000"
6,Tribunal Superior De Justicia,1,Adm Gubernamental,6,Adm. Fiscal,0,"0,000"
7,Consejo De La Magistratura,1,Adm Gubernamental,6,Adm. Fiscal,0,"0,000"
8,Sindicatura General De La Ciudad De Buenos Aires,1,Adm Gubernamental,6,Adm. Fiscal,0,"0,000"
9,Procuracion General De La Ciudad,1,Adm Gubernamental,6,Adm. Fiscal,0,"0,000"
20,Jefatura De Gobierno,1,Adm Gubernamental,6,Adm. Fiscal,0,"0,000"
21,Jefatura De Gabinete De Ministros,1,Adm Gubernamental,6,Adm. Fiscal,0,"0,000"
26,Ministerio De Justicia Y Seguridad,1,Adm Gubernamental,6,Adm. Fiscal,0,"0,000"
28,Ministerio De Gobierno,1,Adm Gubernamental,6,Adm. Fiscal,0,"0,000"
30,Ministerio De Desarrollo Urbano,1,Adm Gubernamental,6,Adm. Fiscal,0,"0,000"
35,Ministerio De Ambiente Y Espacio Publico,1,Adm Gubernamental,6,Adm. Fiscal,0,"0,000"
40,Ministerio De Salud,1,Adm Gubernamental,6,Adm. Fiscal,0,"0,000"
45,Ministerio De Desarrollo Social,1,Adm Gubernamental,6,Adm. Fiscal,0,"0,000"
50,Ministerio De Cultura,1,Adm Gubernamental,6,Adm. Fiscal,0,"0,000"
55,Ministerio De Educacion,1,Adm Gubernamental,6,Adm. Fiscal,0,"0,000"
60,Ministerio De Hacienda,1,Adm Gubernamental,6,Adm. Fiscal,1.172.453.247,"93,162"
65,Ministerio De Desarrollo Economico,1,Adm Gubernamental,6,Adm. Fiscal,0,"0,000"
68,Ministerio De Modernización,1,Adm Gubernamental,6,Adm. Fiscal,0,"0,000"
90,Secretaria De Gestion Comunal Y Atenc.Ciudadana,1,Adm Gubernamental,6,Adm. Fiscal,0,"0,000"
98,Servicio De La Deuda Publica,1,Adm Gubernamental,6,Adm. Fiscal,0,"0,000"
99,Obligaciones A Cargo Del Tesoro,1,Adm Gubernamental,6,Adm. Fiscal,86.053.380,"6,838"
1,Legislatura De La Ciudad De Buenos Aires,3,Ss Sociales,8,Agua Potable y Alcantarillado,0,"0,000"
2,Auditoria General De La Ciudad De Buenos Aires,3,Ss Sociales,8,Agua Potable y Alcantarillado,0,"0,000"
3,Defensoria Del Pueblo,3,Ss Sociales,8,Agua Potable y Alcantarillado,0,"0,000"
5,Ministerio Publico,3,Ss Sociales,8,Agua Potable y Alcantarillado,0,"0,000"
6,Tribunal Superior De Justicia,3,Ss Sociales,8,Agua Potable y Alcantarillado,0,"0,000"
7,Consejo De La Magistratura,3,Ss Sociales,8,Agua Potable y Alcantarillado,0,"0,000"
8,Sindicatura General De La Ciudad De Buenos Aires,3,Ss Sociales,8,Agua Potable y Alcantarillado,0,"0,000"
9,Procuracion General De La Ciudad,3,Ss Sociales,8,Agua Potable y Alcantarillado,0,"0,000"
20,Jefatura De Gobierno,3,Ss Sociales,8,Agua Potable y Alcantarillado,0,"0,000"
21,Jefatura De Gabinete De Ministros,3,Ss Sociales,8,Agua Potable y Alcantarillado,0,"0,000"
26,Ministerio De Justicia Y Seguridad,3,Ss Sociales,8,Agua Potable y Alcantarillado,0,"0,000"
28,Ministerio De Gobierno,3,Ss Sociales,8,Agua Potable y Alcantarillado,0,"0,000"
30,Ministerio De Desarrollo Urbano,3,Ss Sociales,8,Agua Potable y Alcantarillado,436.487.317,"64,166"
35,Ministerio De Ambiente Y Espacio Publico,3,Ss Sociales,8,Agua Potable y Alcantarillado,232.573.811,"34,189"
40,Ministerio De Salud,3,Ss Sociales,8,Agua Potable y Alcantarillado,0,"0,000"
45,Ministerio De Desarrollo Social,3,Ss Sociales,8,Agua Potable y Alcantarillado,0,"0,000"
50,Ministerio De Cultura,3,Ss Sociales,8,Agua Potable y Alcantarillado,0,"0,000"
55,Ministerio De Educacion,3,Ss Sociales,8,Agua Potable y Alcantarillado,0,"0,000"
60,Ministerio De Hacienda,3,Ss Sociales,8,Agua Potable y Alcantarillado,0,"0,000"
65,Ministerio De Desarrollo Economico,3,Ss Sociales,8,Agua Potable y Alcantarillado,0,"0,000"
68,Ministerio De Modernización,3,Ss Sociales,8,Agua Potable y Alcantarillado,0,"0,000"
90,Secretaria De Gestion Comunal Y Atenc.Ciudadana,3,Ss Sociales,8,Agua Potable y Alcantarillado,0,"0,000"
98,Servicio De La Deuda Publica,3,Ss Sociales,8,Agua Potable y Alcantarillado,0,"0,000"
99,Obligaciones A Cargo Del Tesoro,3,Ss Sociales,8,Agua Potable y Alcantarillado,11.188.747,"1,645"
1,Legislatura De La Ciudad De Buenos Aires,1,Adm Gubernamental,7,Control de Gestión,0,"0,000"
2,Auditoria General De La Ciudad De Buenos Aires,1,Adm Gubernamental,7,Control de Gestión,228.110.755,"32,120"
3,Defensoria Del Pueblo,1,Adm Gubernamental,7,Control de Gestión,255.500.000,"35,977"
5,Ministerio Publico,1,Adm Gubernamental,7,Control de Gestión,0,"0,000"
